team_id,canonical_name,display_name,record_source,record_source_url,logo_url
lp_team_157778,Epiphany Bolt,Epiphany Bolt,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/157778,https://lol.fandom.com/wiki/Special:Redirect/file/Epiphany_Boltlogo_square.png
lp_team_157784,Epsilon Esports,Epsilon Esports,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/157784,https://lol.fandom.com/wiki/Special:Redirect/file/Epsilon_Esportslogo_square.png
lp_team_157865,EBD LEGENDs,EBD LEGENDs,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/157865,https://lol.fandom.com/wiki/Special:Redirect/file/CGA_Legends.jpg
lp_team_157910,Estúdio XP e-Sports,Estúdio XP e-Sports,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/157910,https://lol.fandom.com/wiki/Special:Redirect/file/Est%C3%BAdio_XP_e-Sportslogo_square.png
lp_team_157946,Eternity Gaming,Eternity Gaming,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/157946,https://lol.fandom.com/wiki/Special:Redirect/file/Eternity_Gaming.jpeg
lp_team_158261,Ever8 Winners,Ever8 Winners,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/158261,https://lol.fandom.com/wiki/Special:Redirect/file/Ever8_Winners.png
lp_team_158288,Evil Geniuses.EU,Evil Geniuses.EU,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/158288,https://lol.fandom.com/wiki/Special:Redirect/file/Evil_Geniuses_3Dlogo_square.png
lp_team_158324,Ex Nihilo,Ex Nihilo,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/158324,https://lol.fandom.com/wiki/Special:Redirect/file/Ex_Nihilologo_square.png
lp_team_158384,Exgs,Exgs,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/158384,https://lol.fandom.com/wiki/Special:Redirect/file/Exgslogo_square.png
lp_team_158390,Exile,Exile,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/158390,https://lol.fandom.com/wiki/Special:Redirect/file/exile.jpg
