player_id,canonical_name,display_name,record_source,record_source_url,photo_url
lp_player_221325,Tak,Tak,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221325,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/7/78/HKA_Tak_2020_Split_2.png/revision/latest?cb=20200619103729
lp_player_221366,Clarence,Clarence,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221366,
lp_player_221374,Counter,Counter,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221374,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/d/d6/CGG_Counter_PG_Nationals_2020_Spring.png/revision/latest?cb=20200122131925
lp_player_221432,KING,KING (Kim Ji-hoon),leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221432,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/d/d9/GD_KING_2019_Split_1.png/revision/latest?cb=20190227174709
lp_player_221487,j1mmy,j1mmy,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221487,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/7/76/GAL_J1mmy_2018_Winter.png/revision/latest?cb=20180227033552
lp_player_221489,Chunibyo,Chunibyo,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221489,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/b/b7/VC_Chunibyo_2018_Spring.png/revision/latest?cb=20180303183320
lp_player_221495,Zhanzhao,Zhanzhao,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221495,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/e/ef/RWS_Zhanzhao_2019_Split_1.png/revision/latest?cb=20190226180447
lp_player_221500,Ranger,Ranger (Wang Qiang),leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221500,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/f/f1/GD_Ranger_2017_Spring.png/revision/latest?cb=20180124072202
lp_player_221506,wangchen,wangchen,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221506,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/38/SYX_wangchen_2018_Summer.png/revision/latest?cb=20180819041242
lp_player_221510,bingo,Bingo (Xie Bin),leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221510,
lp_player_221515,1874,1874,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221515,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/a/a1/LGD_1874_2025_Split_1.png/revision/latest?cb=20241215100212
lp_player_221520,Xinian,Xinian,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221520,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/a/a6/VTG_Xinian_2019_Split_2.png/revision/latest?cb=20190618194726
lp_player_221525,Southwind,Southwind,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221525,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/BGM_Southwind_Legend_Cup_2024.png/revision/latest?cb=20240520155706
lp_player_221532,Quiet,Quiet,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221532,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/4/4f/JDM_Quiet_2017_Summer.png/revision/latest?cb=20220603152551
lp_player_221600,Dragane,Dragane,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221600,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/36/Dragane_Team_Sweden_2017.jpg/revision/latest?cb=20180124183830
lp_player_221637,Roison,Roison,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221637,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/0/05/ESB_Roison_2025_Split_3.png/revision/latest?cb=20250723150914
lp_player_221643,Changhong,Changhong,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221643,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/2/23/DMO_Changhong_2019_Split_2.png/revision/latest?cb=20190529132254
lp_player_221650,Kumamon,Kumamon,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221650,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3e/LEG_Kumamon_2019_Split_1.png/revision/latest?cb=20190226182640
lp_player_221656,Blossom,Blossom (Park Beom-chan),leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221656,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/4/45/XTN_Blossom_2019_Split_2.png/revision/latest?cb=20190608085103
lp_player_221667,PluTo,PluTo (Lee Ui-hyeon),leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221667,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/5/54/RNW_PluTo_2020_Split_2.png/revision/latest?cb=20200620150726
lp_player_221673,Kailai,Kailai,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221673,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/d/d4/RYL_Kailai_2018_Summer.png/revision/latest?cb=20180826080346
lp_player_221679,Crank,Crank,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/221679,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/4/43/TF_Crank_2018_Summer.png/revision/latest?cb=20180819000720
